"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.4852066040039","95.1399078369141","94.1304321289062","96.5099716186523","94.4876327514648","98.2344589233398","96.7293014526367","101.72176361084","101.150199890137","98.587760925293","98.2503433227539","95.681510925293","","","101.004302978516","105.19856262207","","","","","","","","",
"Africa Eastern and Southern","AFE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","43.6321182250977","44.3394813537598","44.9723281860352","45.9797096252441","46.8754081726074","47.6614990234375","48.9867401123047","50.2610397338867","52.6165885925293","53.229621887207","54.705940246582","55.6821708679199","56.2309417724609","59.3056182861328","55.7372512817383","55.3184394836426","53.9497985839844","52.4199104309082","50.7954902648926","51.8595504760742","52.6319808959961","51.5099983215332","52.728588104248","51.3385696411133","51.6574401855469","51.8213195800781","51.1529388427734","49.7822113037109","49.6071510314941","49.3680686950684","51.451488494873","53.1039886474609","54.6593704223633","55.8810882568359","58.5067481994629","60.7862396240234","62.6231498718262","65.8463821411133","69.5091094970703","69.2572479248047","68.2199096679688","67.8805389404297","67.5844421386719","67.4794692993164","67.1822509765625","67.4874267578125","68.5060272216797","69.8282623291016","70.4422607421875","71.4469833374023","72.3050308227539","",
"Afghanistan","AFG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","17.9868698120117","","","18.9679908752441","20.6745491027832","","27.6641998291016","35.8829002380371","","","21.7596206665039","20.9974803924561","","","","","","","","34.1708297729492","","","","","","","","","","","","","","","","","","","","","","","82.9104614257812","87.2533264160156","88.7355194091797","86.1755218505859","","","",
"Africa Western and Central","AFW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","53.1002311706543","53.0683517456055","52.687931060791","52.782958984375","52.5173110961914","53.4828414916992","54.0703887939453","54.7089805603027","55.9810485839844","56.0147590637207","56.4387893676758","57.1336097717285","57.3883209228516","57.5675888061523","57.5705604553223","57.4297904968262","57.847469329834","57.9743118286133","57.8593292236328","57.4467697143555","57.7525291442871","57.9137916564941","58.0184516906738","58.169490814209","58.1559295654297","57.9077606201172","58.6667518615723","58.7921600341797","59.0864410400391","59.4930992126465","60.1111602783203","60.8312492370605","61.0542984008789","61.2008781433105","61.9129981994629","63.7175216674805","67.3274917602539","64.2500915527344","61.1361618041992","63.819580078125","64.7975234985352","66.0983581542969","66.9005737304688","67.3384170532227","67.7659225463867","68.662712097168","69.2302780151367","68.635368347168","68.5972900390625","68.489990234375","68.6600494384766","69.1814117431641","68.2491226196289",
"Angola","AGO","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","46.2301712036133","41.2660217285156","","","","","","","","","30.9694499969482","","","","","","","","","","","","","","","","","41.1754112243652","40.9657402038574","42.2859001159668","49.0943412780762","","","","","","","","","","","",
"Albania","ALB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.5327835083008","","","","99.1669082641602","100.991310119629","","100.488182067871","98.9352416992188","","","106.881889343262","104.580177307129","105.836242675781","103.269981384277","108.334480285645","115.498252868652","99.6744995117188","112.179496765137","107.276786804199","107.407730102539","110.047668457031","105.708557128906","101.720718383789","99.4685897827148","98.223258972168","97.7489929199219",
"Andorra","AND","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9532165527344","102.439018249512","100.962860107422","","","","","","","","","","66.2775573730469","66.0949935913086","68.4967269897461","65.8163299560547","66.7091827392578","64.2213592529297","62.7099685668945","62.0689697265625","",
"Arab World","ARB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","50.4464416503906","50.2955207824707","49.8330917358398","50.8500213623047","51.5429992675781","54.4666404724121","56.0963516235352","58.080509185791","57.333438873291","53.2655715942383","56.3705596923828","59.628791809082","60.107780456543","61.0502700805664","63.0768890380859","66.825813293457","65.9162902832031","65.5702972412109","66.4099273681641","66.8291320800781","68.2965621948242","68.4528579711914","69.2382583618164","69.4410781860352","70.1775436401367","71.1235504150391","72.1502838134766","72.8757095336914","73.9241714477539","74.961067199707","74.9064788818359","76.0168380737305","76.6783218383789","78.1954879760742","79.7697830200195","80.8678588867188","79.1604309082031","80.8705673217773","82.638427734375","81.0526504516602","81.9671630859375","82.1684188842773","82.9329528808594","80.3713836669922","80.2723388671875","80.009033203125","79.7842864990234","79.7449569702148","80.6385498046875","81.098876953125","82.2149429321289","82.4848709106445","82.3197174072266",
"United Arab Emirates","ARE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","36.4392204284668","41.8893013000488","52.3534202575684","58.6022109985352","61.2533187866211","64.7423706054688","65.9929809570312","69.2605819702148","81.109733581543","82.8186798095703","81.3744506835938","78.1142807006836","78.743293762207","74.7219924926758","70.7035980224609","76.3895416259766","84.1204986572266","90.8818588256836","91.0505676269531","89.4758682250977","90.1040191650391","90.1318435668945","86.2679977416992","82.8324813842773","82.7075119018555","88.8080520629883","94.9609298706055","98.8621063232422","98.8396224975586","","","","","","","","","","91.5319137573242","99.6854934692383","112.281379699707","125.165298461914","","","","118.872009277344","105.32071685791","","",
"Argentina","ARG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","69.9526290893555","72.0555419921875","","","76.3412322998047","78.4502029418945","77.9298095703125","","","","","","","","","","","","","","","","","","97.7695236206055","","92.6410675048828","92.3633880615234","101.253288269043","99.4889907836914","99.7241821289062","99.186408996582","101.835418701172","99.5026397705078","97.7836380004883","94.82763671875","95.8469924926758","98.6377868652344","102.386627197266","103.046852111816","103.408630371094","103.409629821777","103.75479888916","103.374931335449","105.392601013184","106.053131103516","106.544448852539","101.581809997559","100.281806945801","100.38289642334","103.837791442871","105.479530334473","",
